long,lat,group,order,region,subregion
-113.75733,25.57181,76,17465,alaska,NA
-113.7577,25.76105,74,17354,alaska,NA
-113.76206,26.05978,64,16189,alaska,NA
-113.76415,26.22641,64,16199,alaska,NA
-113.76604,25.53195,76,17416,alaska,NA
-113.76949,25.79276,76,17452,alaska,NA
-113.76974,25.48873,76,17421,alaska,NA
-113.77,25.82923,74,17355,alaska,NA
-113.77239,25.59476,76,17463,alaska,NA
-113.77255,26.02165,64,16188,alaska,NA
-113.77285,25.75919,76,17453,alaska,NA
-113.77302,25.95167,64,16182,alaska,NA
-113.77327,25.65643,76,17460,alaska,NA
-113.77347,25.99464,64,16184,alaska,NA
-113.77387,26.11741,64,16192,alaska,NA
-113.77505,25.71399,76,17457,alaska,NA
-113.77938,25.62724,76,17462,alaska,NA
-113.77946,25.95315,64,16183,alaska,NA
-113.78152,25.80382,74,17356,alaska,NA
-113.78195,25.53872,76,17420,alaska,NA
-113.78304,25.68358,76,17458,alaska,NA
-113.78675,25.55326,76,17418,alaska,NA
-113.78684,25.83766,74,17358,alaska,NA
-113.78991,26.05232,64,16190,alaska,NA
-113.79147,25.60642,76,17417,alaska,NA
-113.79511,25.76812,76,17450,alaska,NA
-113.79571,25.72462,76,17456,alaska,NA
-113.7958,25.62374,76,17431,alaska,NA
-113.79757,26.32657,64,16091,alaska,NA
-113.80116,25.50627,76,17422,alaska,NA
-113.80401,25.6684,76,17432,alaska,NA
-113.8045,25.54059,76,17423,alaska,NA
-113.80528,25.54861,76,17419,alaska,NA
-113.80552,25.7986,76,17451,alaska,NA
-113.80609,26.08731,64,16191,alaska,NA
-113.80639,26.33219,64,16090,alaska,NA
-113.80683,25.76126,76,17448,alaska,NA
-113.81301,25.63684,76,17430,alaska,NA
-113.81367,25.59794,76,17425,alaska,NA
-113.81675,25.79276,76,17447,alaska,NA
-113.81947,25.82957,74,17357,alaska,NA
-113.82003,25.61972,76,17429,alaska,NA
-113.8205,25.69402,76,17433,alaska,NA
-113.82107,25.73025,76,17449,alaska,NA
-113.8272,25.66502,76,17434,alaska,NA
-113.82748,26.09294,64,16193,alaska,NA
-113.83042,25.57272,76,17424,alaska,NA
-113.83139,25.64389,76,17428,alaska,NA
-113.83339,25.72455,76,17436,alaska,NA
-113.83589,25.8996,74,17360,alaska,NA
-113.83759,25.5846,76,17426,alaska,NA
-113.83858,25.81505,76,17446,alaska,NA
-113.84075,26.16717,64,16197,alaska,NA
-113.84433,25.60825,76,17427,alaska,NA
-113.85051,26.11173,64,16194,alaska,NA
-113.85255,26.22328,64,16200,alaska,NA
-113.85397,26.13917,64,16195,alaska,NA
-113.85624,26.21995,64,16198,alaska,NA
-113.85848,26.36559,64,16089,alaska,NA
-113.85849,25.86472,74,17359,alaska,NA
-113.85894,25.79667,76,17444,alaska,NA
-113.86198,26.22297,64,16201,alaska,NA
-113.86224,25.99781,69,17223,alaska,NA
-113.86503,25.70379,76,17437,alaska,NA
-113.86597,25.73395,76,17438,alaska,NA
-113.86878,26.03809,69,17216,alaska,NA
-113.87109,25.68126,76,17435,alaska,NA
-113.8726,26.01916,69,17222,alaska,NA
-113.8729,26.16622,64,16202,alaska,NA
-113.87312,26.0912,69,17202,alaska,NA
-113.87569,25.97265,69,17171,alaska,NA
-113.87569,25.97265,69,17224,alaska,NA
-113.88358,25.7161,76,17439,alaska,NA
-113.88679,26.22167,64,16205,alaska,NA
-113.88875,25.76921,76,17442,alaska,NA
-113.89147,26.42643,64,16088,alaska,NA
-113.8924,26.25001,64,16206,alaska,NA
-113.89399,26.0242,69,17220,alaska,NA
-113.89518,26.00958,69,17221,alaska,NA
-113.89701,25.94829,69,17173,alaska,NA
-113.89849,26.1133,69,17201,alaska,NA
-113.90148,25.82143,76,17445,alaska,NA
-113.90318,25.5149,72,17262,alaska,NA
-113.90318,25.5149,72,17301,alaska,NA
-113.90553,26.09081,69,17215,alaska,NA
-113.90614,25.73484,76,17440,alaska,NA
-113.90691,26.29858,64,16208,alaska,NA
-113.90904,25.80222,76,17443,alaska,NA
-113.91112,26.23571,64,16204,alaska,NA
-113.91185,26.03129,69,17218,alaska,NA
-113.91491,26.15771,69,17200,alaska,NA
-113.91662,26.25957,64,16207,alaska,NA
-113.91702,26.11249,69,17203,alaska,NA
-113.92114,25.78247,76,17441,alaska,NA
-113.92227,26.02376,69,17219,alaska,NA
-113.92236,26.03856,69,17217,alaska,NA
-113.92403,26.21698,64,16203,alaska,NA
-113.92972,25.99018,69,17172,alaska,NA
-113.93401,26.10721,69,17213,alaska,NA
-113.93504,26.22265,64,16209,alaska,NA
-113.93632,26.09138,69,17214,alaska,NA
-113.93651,25.86797,69,17174,alaska,NA
-113.95288,25.7213,72,17300,alaska,NA
-113.95702,25.98404,69,17183,alaska,NA
-113.95825,25.95975,69,17182,alaska,NA
-113.96586,26.42785,64,16215,alaska,NA
-113.97965,25.94734,69,17180,alaska,NA
-113.98024,26.25274,64,16210,alaska,NA
-113.98169,25.82701,69,17175,alaska,NA
-113.98233,25.90958,69,17178,alaska,NA
-113.9839,26.03853,69,17186,alaska,NA
-113.98655,26.34266,64,16212,alaska,NA
-113.98905,25.88011,69,17176,alaska,NA
-113.98937,26.21398,69,17205,alaska,NA
-113.99133,25.97604,69,17184,alaska,NA
-113.99179,26.15972,69,17212,alaska,NA
-113.99417,26.41145,64,16214,alaska,NA
-113.99778,25.69445,72,17264,alaska,NA
-113.9985,26.14528,69,17211,alaska,NA
-113.99921,26.50019,64,16087,alaska,NA
-114.00051,26.32236,64,16211,alaska,NA
-114.00109,26.20291,69,17209,alaska,NA
-114.00166,26.36965,64,16213,alaska,NA
-114.0021,25.92445,69,17179,alaska,NA
-114.00302,26.24526,69,17199,alaska,NA
-114.00551,26.40672,64,16216,alaska,NA
-114.00735,25.90123,69,17177,alaska,NA
-114.00812,26.22129,69,17204,alaska,NA
-114.00914,26.27355,69,17198,alaska,NA
-114.00915,25.97017,69,17181,alaska,NA
-114.01409,26.28672,64,16217,alaska,NA
-114.01435,26.22015,69,17207,alaska,NA
-114.01634,25.66517,72,17265,alaska,NA
-114.01904,25.69809,72,17266,alaska,NA
-114.02175,26.20222,69,17210,alaska,NA
-114.02262,26.00505,69,17185,alaska,NA
-114.02366,25.62505,72,17263,alaska,NA
-114.02444,26.0109,69,17187,alaska,NA
-114.02623,26.21684,69,17208,alaska,NA
-114.02883,25.69807,72,17267,alaska,NA
